,min,squad,g+a_1,crdr,starts,pk,g-pk,ast,g-pk_1,crdy,mp,g+a-pk,gls_1,gls,player,g+a,ast_1
199,90,Albania,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Arlind Ajeti,0,0.00
200,83,Kazakhstan,1.08,0,0,0,0,1,0.00,1,3,1.08,0.00,0,Arman Kenessov,1,1.08
201,13,Lithuania,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Armandas Kučys,0,0.00
202,2,Albania,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Armando Sadiku,0,0.00
203,710,Iceland,0.25,0,9,0,1,1,0.13,1,10,0.25,0.13,1,Arnór Ingvi Traustason,2,0.13
204,442,Iceland,0.20,0,6,0,0,1,0.00,0,6,0.20,0.00,0,Arnór Sigurðsson,1,0.20
205,59,Norway,1.53,0,1,0,1,0,1.53,0,1,1.53,1.53,1,Aron Dønnum,1,0.00
206,114,Iceland,3.16,0,1,1,2,1,1.58,0,3,2.37,2.37,3,Aron Gunnarsson,4,0.79
207,784,Liechtenstein,0.00,0,9,0,0,0,0.00,2,9,0.00,0.00,0,Aron Sele,0,0.00
208,90,Armenia,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Arsen Beglaryan,0,0.00
209,561,Armenia,0.32,0,6,0,1,1,0.16,0,7,0.32,0.16,1,Artak Dashyan,2,0.16
210,404,Belarus,0.00,0,4,0,0,0,0.00,1,6,0.00,0.00,0,Artem Bykov,0,0.00
211,536,Ukraine,0.34,0,6,1,1,0,0.17,1,10,0.17,0.34,2,Artem Dovbyk,2,0.00
212,74,Lithuania,0.00,0,1,0,0,0,0.00,1,2,0.00,0.00,0,Artemijus Tutyškinas,0,0.00
213,681,Belgium,0.26,0,8,0,0,2,0.00,1,8,0.26,0.00,0,Arthur Theate,2,0.26
214,4,Belgium,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Arthur Vermeeren,0,0.00
215,540,Finland,0.00,0,6,0,0,0,0.00,0,6,0.00,0.00,0,Arttu Hoskonen,0,0.00
216,720,Moldova,0.00,0,8,0,0,0,0.00,1,8,0.00,0.00,0,Artur Crăciun,0,0.00
217,19,Poland,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,Artur Jędrzejczyk,0,0.0
218,37,Armenia,0.00,0,0,0,0,0,0.00,0,2,0.00,0.00,0,Artur Miranyan,0,0.00
219,441,Estonia,0.00,0,4,0,0,0,0.00,1,7,0.00,0.00,0,Artur Pikk,0,0.00
220,122,Armenia,0.00,0,0,0,0,0,0.00,0,6,0.00,0.00,0,Artur Serobyan,0,0.00
221,28,Lithuania,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Artūr Dolžnikov,0,0.00
222,81,Latvia,0.00,0,1,0,0,0,0.00,1,1,0.00,0.00,0,Artūrs Zjuzins,0,0.00
223,204,Lithuania,0.00,0,1,0,0,0,0.00,0,6,0.00,0.00,0,Arvydas Novikovas,0,0.00
224,2,Saudi Arabia,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,Asiri Haitham,0,0.0
225,640,Kazakhstan,0.28,0,7,1,1,0,0.14,2,8,0.14,0.28,2,Askhat Tagybergen,2,0.00
226,188,Kazakhstan,0.00,0,2,0,0,0,0.00,0,5,0.00,0.00,0,Aslan Darabayev,0,0.00
227,153,Qatar,0.0,0,2,0,0,0,0.0,1,2,0.0,0.0,0,Assim Madibo,0,0.0
228,116,Belgium,0.78,0,2,0,0,1,0.00,2,3,0.78,0.00,0,Aster Vranckx,1,0.78
229,159,Canada,0.0,0,2,0,0,0,0.0,0,3,0.0,0.0,0,Atiba Hutchinson,0,0.0
230,184,Hungary,0.00,0,2,0,0,0,0.00,1,3,0.00,0.00,0,Attila Fiola,0,0.00
231,720,Hungary,0.12,0,8,0,0,1,0.00,1,8,0.12,0.00,0,Attila Szalai,1,0.12
232,621,France,0.14,0,7,0,1,0,0.14,1,7,0.14,0.14,1,Aurélien Tchouaméni,1,0.0
233,90,Israel,1.00,0,1,0,0,1,0.00,0,1,1.00,0.00,0,Avishay Cohen,1,1.00
234,24,Australia,0.0,0,0,0,0,0,0.0,0,2,0.0,0.0,0,Awer Mabil,0,0.0
235,92,France,0.0,0,1,0,0,0,0.0,0,3,0.0,0.0,0,Axel Disasi,0,0.0
